13:58:24.547450 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 226528:227152, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 624
13:58:24.547493 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 227152:227408, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547530 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 227408:227664, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547542 IP 162.243.190.66.43113 > lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh: Flags [.], ack 144784, win 2005, options [nop,nop,TS val 557599868 ecr 3353624479], length 0
13:58:24.547589 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 227664:228096, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 432
13:58:24.547628 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 228096:228352, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547663 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 228352:228608, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547699 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 228608:228864, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547735 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 228864:229120, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547772 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 229120:229376, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547814 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 229376:229632, ack 193, win 501, options [nop,nop,TS val 3353624774 ecr 557599868], length 256
13:58:24.547841 IP 162.243.190.66.43113 > lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh: Flags [.], ack 145808, win 2005, options [nop,nop,TS val 557599868 ecr 3353624479], length 0
13:58:24.547873 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 229632:230064, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 432
13:58:24.547911 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 230064:230320, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.547966 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 230320:230576, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548024 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 230576:230832, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548064 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 230832:231088, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548101 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 231088:231344, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548138 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 231344:231600, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548174 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 231600:231856, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548210 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 231856:232112, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
13:58:24.548273 IP lamponubuntu2004-s-1vcpu-1gb-amd-blr1-01.ssh > 162.243.190.66.43113: Flags [P.], seq 232112:232368, ack 193, win 501, options [nop,nop,TS val 3353624775 ecr 557599868], length 256
